     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/16/2017-12/22/2017,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R019,179TH STREET & HILLSIDE AVE   ,00031291,00002173,00000501,00001054,00000013,00021593,00024441,00000000,00000000,00000000,00000046,00000630,00001095,00000010,00002888,00000545,00000263,00000000,00000245,00000000,00000000,00000000,00003948,00000000,00000623,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00205047,00010881,00000780,00001670,00000723,00066575,00086177,00000000,00000000,00000000,00000589,00004336,00002007,00000773,00015665,00006489,00002434,00000000,00003284,00000000,00000000,00000000,00003857,00000000,00000661,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00116361,00005437,00000438,00001206,00000186,00045724,00067167,00000000,00000000,00000000,00000384,00002845,00000882,00000126,00010601,00003739,00001919,00000000,00001894,00000000,00000000,00000000,00002915,00000000,00000604,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00227664,00011958,00001083,00002353,00000843,00099778,00118283,00000000,00000000,00000000,00001371,00003042,00003018,00000830,00015673,00005187,00002736,00000000,00003776,00000000,00000000,00000000,00005880,00000000,00001603,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00152943,00007772,00000640,00001637,00000540,00047990,00076850,00000000,00000000,00000001,00000248,00002958,00001606,00000663,00009028,00004724,00002164,00000000,00001999,00000000,00000000,00000000,00002960,00000000,00000535,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00044773,00002511,00000405,00000710,00000362,00033897,00019615,00000000,00000001,00000000,00000046,00000311,00001203,00000407,00002040,00000679,00000260,00000000,00011241,00000000,00000000,00000000,00002802,00000000,00000536,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00052799,00002348,00000935,00001511,00000040,00057459,00031428,00000000,00000000,00000000,00000040,00000324,00001731,00000025,00004640,00000277,00000313,00000000,00000576,00000000,00000000,00000000,00007721,00000002,00001375,00000000,                                                                                                    
R027,WALL STREET                   ,00052644,00002715,00000149,00000470,00000932,00012084,00027650,00000000,00000000,00000000,00000152,00001214,00000265,00001694,00004888,00002191,00000843,00000000,00000587,00000000,00000000,00000000,00001416,00000000,00000103,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00063699,00003775,00000322,00000953,00000412,00023161,00038452,00000000,00000000,00000000,00000165,00000955,00000547,00000620,00007229,00001919,00001029,00000000,00001177,00000000,00000000,00000000,00002988,00000000,00000264,00000000,                                                                                                    
R029,PARK PLACE                    ,00133971,00005890,00000444,00001279,00000825,00038361,00055854,00000000,00000000,00000000,00001316,00002014,00001286,00001381,00008687,00003850,00001942,00000000,00002543,00000000,00000000,00000000,00006375,00000000,00002291,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00046682,00003035,00000234,00000660,00000460,00015745,00023551,00000000,00000000,00000000,00000158,00000799,00000521,00000821,00003690,00001819,00000774,00000000,00000583,00000000,00000000,00000000,00009726,00000000,00001845,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00108800,00006586,00000539,00001151,00001308,00037461,00037474,00000000,00000000,00000000,00000336,00001321,00001444,00002244,00005730,00003667,00001127,00000000,00001334,00000000,00000000,00000000,00003278,00000000,00000701,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00097907,00004943,00000398,00001063,00000200,00035955,00061304,00000000,00000000,00000000,00000279,00001939,00000712,00000164,00008158,00003446,00001811,00000000,00001172,00000000,00000000,00000000,00001426,00000000,00000377,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00200280,00008585,00000769,00001726,00000601,00087199,00072799,00000000,00000000,00000000,00000623,00002424,00002536,00000497,00011833,00004538,00002014,00000000,00003918,00000000,00000000,00000000,00007857,00000000,00001456,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00014435,00001429,00000133,00000307,00000036,00009354,00009331,00000000,00000000,00000000,00000048,00000097,00000445,00000038,00001096,00000312,00000266,00000000,00000284,00000000,00000000,00000000,00002196,00000000,00000145,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00061807,00005341,00000544,00000997,00000084,00038016,00040685,00000000,00000000,00000000,00000100,00000330,00001896,00000126,00003670,00001401,00001338,00000000,00000745,00000000,00000000,00000000,00006883,00000000,00000459,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00016469,00001774,00000199,00000409,00000005,00015627,00009629,00000000,00000000,00000000,00000025,00000088,00000998,00000000,00001198,00000108,00000202,00000000,00000146,00000000,00000000,00000000,00003783,00000000,00000334,00000000,                                                                                                    
R037,207TH STREET                  ,00011000,00001009,00000213,00000237,00000003,00015258,00007840,00000000,00000000,00000000,00000012,00000045,00000573,00000009,00000840,00000068,00000119,00000000,00000083,00000000,00000000,00000000,00002615,00000000,00000309,00000000,                                                                                                    
R038,215TH STREET                  ,00004477,00000503,00000044,00000131,00000002,00002655,00003154,00000000,00000000,00000000,00000009,00000046,00000113,00000003,00000374,00000080,00000116,00000000,00000047,00000000,00000000,00000000,00000577,00000000,00000028,00000000,                                                                                                    
R039,225TH STREET                  ,00012743,00000958,00000133,00000162,00000060,00010401,00006039,00000000,00000000,00000000,00000007,00000056,00000463,00000033,00000821,00000128,00000142,00000000,00000118,00000000,00000000,00000000,00002589,00000000,00000218,00000000,                                                                                                    
R040,231ST STREET                  ,00017914,00002137,00000338,00000664,00000005,00015394,00012400,00000000,00000000,00000000,00000078,00000132,00000986,00000008,00001437,00000273,00000168,00000000,00000099,00000000,00000000,00000000,00002521,00000000,00000356,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00044093,00002476,00000405,00000799,00000511,00019492,00026279,00000000,00000000,00000000,00001374,00000862,00000560,00000837,00004809,00001532,00000577,00000000,00000628,00000000,00000000,00000000,00003400,00000000,00000235,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00009122,00000377,00000064,00000106,00000067,00006790,00004117,00000000,00000000,00000000,00000285,00000097,00000057,00000153,00000595,00000258,00000070,00000000,00000253,00000000,00000000,00000000,00000374,00000000,00000080,00000000,                                                                                                    
R043,WALL STREET                   ,00052643,00002660,00000140,00000385,00000414,00016878,00027430,00000000,00000000,00000000,00000944,00001103,00000351,00000875,00003991,00001719,00000803,00000000,00000771,00000000,00000000,00000000,00001621,00000000,00000157,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00074784,00005052,00000303,00001124,00000282,00030210,00039240,00000000,00000000,00000000,00000360,00000939,00000858,00000754,00005638,00002039,00001146,00000000,00001204,00000000,00000000,00000000,00005224,00000000,00000896,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00073226,00004089,00000167,00000349,00001516,00011272,00020628,00000000,00000000,00000000,00000162,00001086,00000374,00001964,00003136,00003113,00000763,00000000,00000628,00000000,00000000,00000000,00000748,00000000,00000114,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00254748,00011634,00000763,00001404,00002848,00063039,00087176,00000000,00000000,00000000,00000752,00003192,00002677,00003845,00013559,00008012,00002701,00000000,00003708,00000000,00000000,00000000,00002473,00000000,00000679,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00092683,00005179,00000359,00000745,00001074,00025905,00051116,00000000,00000000,00000000,00000366,00002059,00000446,00001812,00008951,00004031,00001434,00000000,00000916,00000000,00000000,00000000,00001312,00000000,00000266,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00031653,00001516,00000080,00000239,00000374,00007777,00017376,00000000,00000000,00000000,00000061,00000641,00000132,00000348,00002235,00001402,00000429,00000000,00000268,00000000,00000000,00000000,00000368,00000000,00000067,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00064767,00003467,00000225,00000570,00000144,00023978,00029509,00000000,00000000,00000000,00000281,00001345,00000526,00000151,00005713,00002190,00000813,00000000,00001195,00000000,00000000,00000000,00000897,00000000,00000193,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00059547,00004295,00000320,00000785,00000241,00023560,00034938,00000000,00000000,00000000,00000291,00001326,00000633,00000393,00005557,00002265,00000893,00000000,00000798,00000000,00000000,00000000,00001621,00000000,00000241,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00077484,00005716,00000537,00001137,00000144,00043863,00050419,00000001,00000000,00000000,00000256,00001279,00000758,00000232,00007370,00002455,00001298,00000000,00000778,00000000,00000000,00000000,00004359,00000000,00000467,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00009417,00000617,00000174,00000395,00000010,00010516,00005595,00000000,00000000,00000000,00000024,00000057,00000587,00000003,00000668,00000092,00000039,00000000,00000044,00000000,00000000,00000000,00001072,00000000,00000251,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00038729,00002211,00000632,00000973,00000015,00046790,00020291,00000000,00000000,00000000,00000041,00000176,00001463,00000008,00003179,00000189,00000244,00000000,00000200,00000000,00000000,00000000,00009252,00000000,00001039,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00037684,00001860,00000115,00000405,00000154,00013601,00020900,00000000,00000000,00000000,00000100,00000681,00000385,00000105,00002740,00001209,00000588,00000000,00000629,00000000,00000000,00000000,00000863,00000000,00000195,00000000,                                                                                                    
R055,MAIN STREET                   ,00092143,00009764,00000955,00005408,00000039,00058409,00092951,00000000,00000000,00000000,00000119,00000736,00002688,00000045,00004730,00000995,00000656,00000000,00000801,00000000,00000000,00000000,00011617,00000000,00001653,00000000,                                                                                                    
R056,NEVINS STREET                 ,00024160,00001732,00000333,00000516,00000022,00015771,00014126,00000000,00000000,00000000,00000081,00000201,00000560,00000027,00002448,00000448,00000361,00000000,00000239,00000000,00000000,00000000,00004133,00000000,00000269,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00120291,00006835,00000944,00002001,00001621,00057420,00063868,00000000,00000000,00000000,00000205,00001221,00001710,00002347,00009312,00003286,00001817,00000000,00001911,00000000,00000000,00000000,00019192,00000000,00001050,00000000,                                                                                                    
R058,BERGEN STREET                 ,00007666,00000561,00000040,00000136,00000001,00003605,00006335,00000000,00000000,00000000,00000014,00000111,00000114,00000003,00001291,00000269,00000209,00000000,00000118,00000000,00000000,00000000,00000818,00000000,00000025,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00014827,00002224,00000137,00000383,00000005,00005809,00011398,00000000,00000000,00000000,00000017,00000276,00000376,00000026,00002168,00000492,00000414,00000000,00000174,00000000,00000000,00000000,00002447,00000000,00000062,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00008895,00001036,00000116,00000200,00000009,00004897,00007462,00000000,00000000,00000000,00000005,00000102,00000242,00000004,00001381,00000186,00000278,00000000,00000173,00000000,00000000,00000000,00001274,00000000,00000055,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00007513,00000637,00000133,00000142,00000001,00006020,00005594,00000000,00000000,00000000,00000004,00000035,00000310,00000008,00000893,00000099,00000144,00000000,00000123,00000000,00000000,00000000,00001969,00000000,00000128,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00043980,00002697,00000981,00001279,00000013,00041632,00029203,00000000,00000000,00000000,00000063,00000386,00001235,00000025,00004551,00000232,00000637,00000000,00000271,00000000,00000000,00000000,00007558,00000000,00000897,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00013354,00000905,00000242,00000271,00000007,00011354,00005718,00000000,00000000,00000000,00000010,00000060,00000486,00000001,00000740,00000057,00000152,00000000,00000059,00000000,00000000,00000000,00003856,00000000,00000263,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00010814,00000634,00000128,00000208,00000005,00008190,00004637,00000000,00000000,00000000,00000004,00000071,00000289,00000000,00000620,00000052,00000085,00000000,00000059,00000000,00000000,00000000,00002912,00000002,00000229,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00009610,00000707,00000169,00000240,00000001,00007813,00003374,00000000,00000000,00000000,00000007,00000023,00000509,00000005,00000462,00000118,00000043,00000000,00000032,00000000,00000000,00000000,00004011,00000002,00000245,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00003509,00000318,00000097,00000125,00000000,00003633,00001780,00000000,00000000,00000000,00000001,00000015,00000188,00000000,00000149,00000007,00000032,00000000,00000023,00000000,00000000,00000000,00001601,00000000,00000121,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00008356,00000518,00000183,00000184,00000000,00007084,00003150,00000000,00000000,00000000,00000009,00000033,00000351,00000000,00000509,00000015,00000070,00000000,00000057,00000000,00000000,00000000,00003342,00000002,00000140,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00005960,00000400,00000095,00000095,00000001,00004872,00002392,00000000,00000000,00000000,00000004,00000050,00000235,00000000,00000402,00000017,00000036,00000000,00000014,00000000,00000000,00000000,00001615,00000000,00000088,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00010115,00000703,00000207,00000237,00000001,00010266,00004681,00000000,00000000,00000000,00000015,00000037,00000412,00000000,00000762,00000051,00000056,00000000,00000048,00000000,00000001,00000000,00002536,00000002,00000243,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00030044,00001776,00000102,00000374,00000013,00005119,00008391,00000000,00000000,00000000,00000250,00001153,00000181,00000001,00001139,00001856,00000108,00000000,00000072,00000000,00000000,00000000,00002964,00000000,00000124,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00025085,00000645,00000084,00000174,00000139,00009439,00010093,00000000,00000000,00000000,00000142,00000253,00000134,00000058,00001573,00000596,00000302,00000000,00000364,00000000,00000000,00000000,00000412,00000000,00000073,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00048605,00002723,00000175,00000496,00000126,00018008,00022190,00000000,00000000,00000001,00000255,00000816,00000579,00000272,00004004,00001537,00000634,00000000,00000776,00000000,00000000,00000000,00000656,00000000,00000185,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00092904,00006922,00000405,00001288,00000170,00036998,00056382,00000000,00000000,00000000,00000344,00001533,00000995,00000284,00009164,00003542,00001774,00000000,00001518,00000000,00000000,00000000,00002631,00000000,00000325,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00078073,00003305,00000268,00000769,00000106,00033762,00038298,00000000,00000000,00000000,00000296,00001423,00000639,00000092,00006761,00002154,00001029,00000000,00001763,00000000,00000000,00000000,00002566,00000000,00000281,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00033629,00001382,00000161,00000338,00000034,00015709,00020782,00000000,00000000,00000000,00000117,00000512,00000384,00000047,00002517,00000953,00000700,00000000,00000792,00000000,00000000,00000000,00000405,00000000,00000112,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00061729,00002567,00000266,00000581,00000135,00024509,00037996,00000000,00000000,00000000,00000394,00000969,00000360,00000106,00005120,00002135,00001214,00000000,00001103,00000000,00000000,00000000,00002049,00000000,00000236,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00189507,00014096,00001024,00002814,00000624,00084280,00102083,00000000,00000001,00000000,00000475,00002471,00002443,00000754,00012956,00005983,00003120,00000000,00003539,00000000,00000000,00000000,00013991,00000000,00001432,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00045773,00002772,00000161,00000471,00000053,00016482,00026590,00000000,00000000,00000000,00000125,00000684,00000324,00000088,00004060,00001526,00000764,00000000,00000904,00000000,00000000,00000000,00001427,00000000,00000181,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00051495,00001607,00000140,00000264,00000056,00020674,00026665,00000000,00000000,00000000,00000140,00000608,00000207,00000086,00003524,00001301,00000772,00000000,00001048,00000000,00000000,00000000,00001131,00000000,00000282,00000000,                                                                                                    
R087,CITY HALL                     ,00015363,00001113,00000088,00000255,00000015,00005549,00010324,00000000,00000000,00000000,00000132,00000235,00000141,00000018,00001361,00000504,00000284,00000000,00000208,00000000,00000000,00000000,00001765,00000000,00000240,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00053878,00001426,00000110,00000225,00000046,00015578,00020914,00000000,00000002,00000000,00000195,00000948,00000287,00000070,00003364,00001507,00000766,00000000,00001035,00000000,00000000,00000000,00001007,00000000,00000260,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00008370,00000478,00000033,00000101,00000013,00002892,00005004,00000000,00000000,00000000,00000042,00000143,00000131,00000010,00000610,00000340,00000163,00000000,00000131,00000000,00000000,00000000,00000698,00000000,00000068,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00009018,00000642,00000094,00000136,00000018,00005696,00006369,00000000,00000000,00000000,00000017,00000108,00000320,00000015,00000646,00000181,00000203,00000000,00000113,00000000,00000000,00000000,00001024,00000000,00000052,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00033475,00002235,00000192,00000563,00000007,00016131,00031373,00000000,00000000,00000000,00000009,00000368,00000832,00000020,00004298,00000725,00001096,00000000,00000393,00000000,00000000,00000000,00003943,00000000,00000212,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00038495,00001791,00000158,00000432,00000025,00019664,00032790,00000000,00000000,00000000,00000019,00000374,00000739,00000023,00004657,00000912,00000885,00000000,00000391,00000000,00000000,00000000,00002883,00000000,00000197,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00036520,00001907,00000202,00000279,00000020,00017008,00029927,00000000,00000000,00000000,00000022,00000524,00000942,00000014,00003871,00000759,00000789,00000000,00000347,00000000,00000000,00000000,00003378,00000000,00000203,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00029917,00002874,00000412,00000733,00000014,00025852,00018421,00000000,00000000,00000000,00000018,00000165,00001073,00000019,00001348,00000234,00000293,00000000,00000265,00000000,00000000,00000000,00004638,00000000,00000553,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00053662,00001895,00000299,00000568,00000021,00048634,00021951,00000000,00000001,00000000,00000010,00000141,00000980,00000007,00001364,00000146,00000259,00000000,00000265,00000000,00000000,00000000,00008327,00000000,00000724,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00030675,00002342,00000565,00000803,00000014,00026798,00023365,00000000,00000000,00000000,00000018,00000290,00000886,00000018,00003010,00000219,00000585,00000000,00000271,00000000,00000000,00000000,00006124,00000000,00000547,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00047010,00002792,00000377,00001258,00000038,00023353,00038168,00000000,00000000,00000000,00000075,00000707,00000641,00000048,00005519,00001391,00000931,00000000,00000658,00000000,00000000,00000000,00011954,00000000,00000437,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00005113,00000325,00000034,00000107,00000000,00003013,00002453,00000000,00000000,00000000,00000001,00000063,00000153,00000000,00000237,00000070,00000027,00000000,00000059,00000000,00000000,00000000,00001591,00000000,00000078,00000000,                                                                                                    
R101,145TH STREET                  ,00040792,00002159,00000473,00000848,00000040,00042029,00036947,00000000,00000000,00000000,00000036,00000205,00000978,00000023,00004315,00000548,00000924,00000000,00000541,00000000,00000000,00000000,00006449,00000000,00000510,00000000,                                                                                                    
R102,125TH STREET                  ,00056585,00003470,00000804,00001293,00000047,00048991,00040404,00000000,00000000,00000000,00000075,00000355,00001569,00000037,00005276,00000803,00000932,00000000,00000974,00000000,00000000,00000000,00008474,00000000,00000769,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00015097,00000743,00000265,00000424,00000011,00015780,00007895,00000000,00000000,00000000,00000010,00000074,00000662,00000006,00000958,00000092,00000110,00000000,00000119,00000000,00000000,00000000,00003089,00000000,00000273,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00018104,00000936,00000241,00000350,00000000,00022730,00009999,00000000,00000000,00000000,00000003,00000044,00000601,00000004,00001285,00000065,00000159,00000000,00000118,00000000,00000000,00000000,00004262,00000000,00000409,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00055159,00005739,00000416,00001312,00000134,00026152,00031476,00000000,00000000,00000000,00000155,00000936,00000700,00000180,00004762,00001962,00001060,00000000,00000919,00000000,00000000,00000000,00003796,00000000,00000187,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00012978,00000674,00000138,00000198,00000002,00010885,00006790,00000000,00000000,00000000,00000020,00000091,00000439,00000002,00000980,00000090,00000120,00000000,00000040,00000000,00000000,00000000,00003090,00000000,00000205,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009696,00000670,00000142,00000247,00000007,00008536,00005536,00000000,00000000,00000000,00000058,00000071,00000419,00000008,00000694,00000076,00000062,00000000,00000043,00000000,00000000,00000000,00003596,00000000,00000232,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00080002,00007686,00000712,00001567,00000282,00032094,00049498,00000000,00000000,00000000,00000360,00001116,00001347,00000504,00007907,00002464,00001396,00000000,00000984,00000000,00000000,00000000,00007517,00000000,00000881,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00018794,00001470,00000342,00000494,00000003,00014972,00009709,00000000,00000000,00000000,00000023,00000108,00000656,00000015,00001503,00000089,00000208,00000000,00000117,00000000,00000000,00000000,00003510,00000000,00000364,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00032553,00002310,00000692,00000901,00000019,00025951,00021347,00000000,00000000,00000000,00000102,00000383,00000794,00000013,00003298,00000482,00000347,00000000,00000122,00000000,00000000,00000000,00005526,00000000,00000712,00000000,                                                                                                    
R111,23RD STREET & 8TH AVENUE      ,00052290,00004981,00000402,00001364,00000063,00024029,00032395,00000000,00000000,00000000,00000113,00000890,00000681,00000085,00004161,00001749,00001002,00000000,00001134,00000000,00000000,00000000,00005745,00000000,00000237,00000000,                                                                                                    
