     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/25/2013-05/31/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00056340,00001952,00000174,00000674,00000155,00022726,00024841,00000000,00000000,00000000,00000240,00000814,00000479,00000426,00002000,00000713,00000217,00000000,00000947,00000000,00000000,00000000,00002332,                                                                                                                               
R003,CYPRESS HILLS                 ,00003458,00000185,00000018,00000025,00000005,00001822,00001223,00000000,00000000,00000000,00000001,00000035,00000049,00000003,00000051,00000011,00000002,00000000,00000012,00000000,00000000,00000000,00000852,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00008429,00000366,00000030,00000123,00000000,00004180,00004040,00000000,00000000,00000000,00000000,00000056,00000137,00000007,00000216,00000016,00000030,00000000,00000074,00000000,00000000,00000000,00003635,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00009065,00000534,00000046,00000126,00000001,00004172,00004918,00000000,00000000,00000000,00000004,00000057,00000098,00000000,00000193,00000034,00000045,00000000,00000050,00000000,00000000,00000000,00001932,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00009063,00000494,00000042,00000122,00000005,00005549,00005427,00000000,00000000,00000000,00000011,00000076,00000135,00000013,00000212,00000051,00000041,00000000,00000061,00000000,00000000,00000000,00002066,                                                                                                                               
R007,104TH STREET                  ,00006365,00000265,00000033,00000078,00000000,00002954,00002887,00000000,00000000,00000000,00000003,00000055,00000075,00000004,00000120,00000025,00000022,00000000,00000027,00000000,00000000,00000000,00001147,                                                                                                                               
R008,111TH STREET                  ,00005772,00000212,00000021,00000045,00000000,00002703,00002544,00000000,00000000,00000000,00000002,00000035,00000105,00000004,00000140,00000030,00000020,00000000,00000034,00000000,00000000,00000000,00002476,                                                                                                                               
